ARTICLE;WORD;WORDCLASS;UKTRANSLATION;ENGMEANING;RANGTOLEARN;RIGHTANSWERCOUNT
an;adjective;noun;прикметник;;needToRepeat;
an;adverb;noun;прислівник;words that answer at question Where? How Much? How? How often? When?;needToLearn;
an;affluence;noun;достаток;the state of having a lot of money or owning many things;needToLearn;
to;allege;verb;стверджувати;;needToLearn;
;appropriate;adjective;відповідний;suitable or right for a particular situation or occasion;needToLearn;
;candid;adjective;відвертий;;needToRepeat;
a;cause;noun;причина;the reason why something, especially something bad, happens;needToRepeat;
a;compound;noun;з'єднання;something consisting of two or more different parts;needToLearn;
a;concrete;noun;бетон;a very hard building material made by mixing together cement, sand, small stones, and water;needToRepeat;
a;conjunction;noun;сполучник;a word that is used to connect words, phrases, and clauses (examples: and, or, so, for, since, because, as, but, yet, while, in case ...);needToLearn;
a;connotation;noun;конотація;a feeling or idea that is suggested by a particular word although it need not be a part of the word's meaning, or something suggested by an object or situation;needToLearn;
to;consider;verb;розглянути;to spend time thinking about a possibility or making a decision;needToLearn;
to;determine;verb;визначати;to control or influence something directly, or to decide what will happen;needToRepeat;
a;determiner;noun;визначник;a word that modifies, describes, or introduces a noun;needToRepeat;
to;emphasize;verb;підкреслити;to show that something is very important or worth giving attention to;needToLearn;
to;expand;verb;розширити;to increase in size, number, or importance, or to make something increase in this way;learned;
to;fracture;verb;ламати;If something hard, such as a bone breaks or cracks;needToLearn;
a;greed;noun;жадібність;;needToLearn;
to;haunt;verb;переслідувати;to cause repeated suffering or anxiety;needToLearn;
an;inconsistency;noun;несоответствие;;needToLearn;
an;interjection;noun;вставне слово;a word or phrase used to express a feeling or to request or demand something;needToLearn;
a;jug;noun;глечик;;needToRepeat;
;malign;adjective;згубний;causing or intending to cause harm or evil;needToRepeat;
to;pave;verb;асфальтувати;;needToLearn;
a;peel;noun;шкірка;the skin of fruit and vegetables, especially after it has been removed;learned;
a;preposition;noun;прийменник;(examples: in, at, on, of, to);needToLearn;
a;pronoun;noun;займенник;(examples: I, You, He, She, They ...);needToLearn;
;rapid;adjective;швидкий;fast or sudden;needToLearn;
a;recognition;noun;визнання;agreement that something is true or legal;needToLearn;
a;remedy;noun;засіб правового захисту;;needToRepeat;
to;rove;verb;блукати;to move or travel around an area, especially a large one;needToLearn;
to;rub;verb;терти;to press or be pressed against something with a circular or up-and-down repeated movement;needToRepeat;
;rugged;adjective;суровый;;needToLearn;
;sensitively;adverb;чутко;;needToLearn;
;significant;adjective;значний;important or noticeable;needToLearn;
to;strangle;verb;душити;to kill someone by pressing their throat so that they cannot breathe;needToRepeat;
to;suggest;verb;пропонувати;to mention an idea, possible plan, or action for other people to consider;needToLearn;
to;thrive;verb;процвітати;to grow, develop, or be successful (not flourish);needToRepeat;
a;tummy;noun;животик;the stomach, or the lower front part of the body;needToRepeat;
to;veer;verb;повертати;to change direction;needToRepeat;
;vigorously;adverb;енергійно;in a way that is very forceful or energetic;needToLearn;
a;wealth;noun;багатство;a large amount of money or valuable possessions that someone has;needToRepeat;
to;weep;verb;плакати;to cry tears;needToLearn;
an;accessory;noun;аксесуар;something added to a machine or to clothing that has a useful or decorative purpose;needToRepeat;
an;advertising;noun;реклама;;needToRepeat;
an;agreement;noun;угода, договір;;needToRepeat;
to;appears;verb;з'являтися;;needToRepeat;
an;article;noun;артикль;words that define a noun as specific or unspecific.;learned;
a;butler;noun;дворецький;the most important male servant in a house, usually responsible for organizing the other servants;needToRepeat;
a;cladding;noun;облицювання;material that covers the surface of something and protects it;needToRepeat;
;congratulatory;adjective;вітальний;;needToRepeat;
a;consistency;noun;консистенція;the physical nature of a substance, especially a thick liquid, for example by being thick or thin, smooth or lumpy, etc.;learned;
to;constitute;verb;складати, бути частиною;be (a part) of a whole;needToRepeat;
a;dash;noun;тире;;learned;
a;defendant;noun;відповідач;;learned;
a;deficit;noun;дефіцит;the total amount by which money spent is more than money received;learned;
a;desire;noun;бажання;;needToRepeat;
a;downer;noun;депресант;;needToRepeat;
a;dump;noun;звалище;a place where people are allowed to leave their rubbish;needToRepeat;
an;environment;noun;навколишнє середовище;;learned;
;environmentally;adverb;екологічно;;learned;
to;eviscerate;verb;потрошити;or to remove one or all of the organs from the inside of a body;needToRepeat;
an;excise;noun;акциз;a tax made by a government on some types of goods produced and used within their own country;needToRepeat;
a;flagship;noun;флагман;;learned;
to;flourish;verb;процвітати;;learned;
a;headache;noun;головний біль;;learned;
a;hillside;noun;схил пагорба;;learned;
;himalayan;adjective;гімалайський;;learned;
a;humankind;noun;людство;;learned;
an;impersonator;noun;самозванец;;needToRepeat;
;intensely;adverb;интенсивно;;needToRepeat;
a;knifepoint;noun;острие ножа;;needToRepeat;
a;knot;noun;узел;;needToRepeat;
a;locket;noun;медальон;;needToRepeat;
;lucidly;adverb;доходчиво;;needToRepeat;
a;mustard;noun;горчица;;needToRepeat;
a;noun;noun;іменник;;learned;
a;nun;noun;черниця;a member of a female religious group that lives in a convent;needToRepeat;
to;observe;verb;наблюдать;;needToRepeat;
;prescriptive;adjective;предписывающий;saying exactly what must happen, especially by giving an instruction or making a rule;needToRepeat;
a;prodigy;noun;чудо;;needToRepeat;
;prosperous;adjective;процвітаючий;successful, usually by earning a lot of money;needToRepeat;
to;rely;verb;покладатися;;needToRepeat;
to;remark;verb;отмечать;;needToRepeat;
a;rubbish;noun;мусор;;needToRepeat;
a;sandpaper;noun;наждачная бумага;;learned;
a;scrub;noun;скраб;to rub something hard in order to clean it, especially using a stiff brush, soap, and water;learned;
a;silencer;noun;глушитель;;learned;
;simultaneously;adverb;одновременно;;needToRepeat;
a;sincerity;noun;искренность;;needToRepeat;
a;sleigh;noun;сани;;needToRepeat;
to;sniff;verb;нюхать;;needToRepeat;
to;snoop;verb;шпионить;;needToRepeat;
to;spoil;verb;портить;;needToRepeat;
;stateless;adjective;не имеющий гражданства;or an application program that does not save client data generated in one session for use in the next session with that client;needToRepeat;
;steamy;adjective;покрытый паром;;needToRepeat;
a;strap;noun;ремінь;;needToRepeat;
a;striker;noun;забастовщик;;needToRepeat;
a;succession;noun;последовательность;;needToRepeat;
a;thesis;noun;теза;the main idea, opinion, or theory of a person, group, piece of writing, or speech;learned;
;ulcerative;adjective;язвенный;;needToRepeat;
;unbowed;adjective;непокоренный;;needToRepeat;
;unimaginative;adjective;лишенный воображения;;needToRepeat;
;untroubled;adjective;тихий;CALM, TRANQUIL;needToRepeat;
;upstanding;adjective;уважаемый;;needToRepeat;
a;verb;noun;дієслово;;learned;
a;virginity;noun;девственность;;learned;
a;watchword;noun;лозунг;;needToRepeat;
to;rive;verb;розривати;to cut something apart with great force;needToRepeat;
a;refund;noun;відшкодування;an amount of money that is given back to you, especially because you are not happy with a product or service that you have bought;needToRepeat;
to;carry;verb;нести;to hold something or someone with your hands, arms, or on your back and transport it, him, or her from one place to another;needToLearn;
a;bargain;noun;дешевина;something on sale at a lower price than its true value;needToLearn;
a;wire;noun;дріт;metal drawn out into the form of a thin flexible thread or rod;needToLearn;
a;trolley;noun;візок;a small vehicle with two or four wheels that you push or pull to transport large or heavy objects on;needToRepeat;
a;pollution;noun;забруднення;damage caused to water, air, etc. by harmful substances or waste;needToRepeat;
a;checkout;noun;каса;the place on a website where you order and pay for goods;needToLearn;
an;aisle;noun;прохід;a long, narrow space between rows of seats in an aircraft, cinema, or church;needToRepeat;
;unintended;adjective;ненавмисний;not planned for;needToLearn;
;awkward;adjective;незручний;difficult to use, do, or deal with;needToLearn;
;incoherent;adjective;незв'язний;expressing yourself in a way that is not clear;needToLearn;
;inappropriate;adjective;недоречно;unsuitable, esp. for the particular time, place, or situation;needToLearn;
to;intend;verb;мають намір;to have as a plan or purpose;needToRepeat;
a;purpose;noun;мета;why you do something or why something exists;needToLearn;
a;haven;noun;притулок;a place of safety or refuge;needToLearn;
a;tail;noun;хвіст;a part of an animal's body, sticking out from the base of the back, or something similar in shape or position;needToLearn;
;beefy;adjective;мускулистий;person looks strong, heavy, and powerful;needToLearn;
to;detach;verb;від'єднати;to separate or remove something from something else that it is connected to;needToLearn;
;furthermore;adverb;крім того;"in addition; more importantly";needToLearn;
a;tongue;noun;язик;the large, soft piece of flesh in the mouth that you can move, and is used for tasting, speaking, etc.;needToLearn;
to;bind;verb;зв'язати;to tie something or someone tightly or to fasten something;needToLearn;
;straightforward;adjective;прямолінійний;easy to understand or simple;needToLearn;
;elusive;adjective;невловимий;difficult to describe, find, achieve, or remember;needToLearn;
an;aid;noun;допомога;help or support;needToLearn;
an;anchor;noun;якір;a heavy metal object, usually shaped like a cross with curved arms, on a strong rope or chain, that is dropped from a boat into the water to prevent the boat from moving away;needToLearn;
to;tie;verb;зав'язувати;to fasten together two ends of a piece of string or other long, thin material, or to (cause to) hold together with a long, thin piece of string, material, etc.;needToLearn;
a;stack;noun;стек;a pile of things arranged one on top of another;needToLearn;
a;heap;noun;куча;an untidy pile or mass of things;needToLearn;
